cod_munic;munic;lat;long;state;pop
5200050;Abadia de Goiás;-167573;-494412;GO;8773
3100104;Abadia dos Dourados;-184831;-473916;MG;6989
5200100;Abadiânia;-16197;-487057;GO;20042
3100203;Abaeté;-191551;-454444;MG;23237
1500107;Abaetetuba;-172183;-488788;PA;157698
2300101;Abaiara;-734588;-390416;CE;11737
2900108;Abaíra;-132488;-416619;BA;8739
2900207;Abaré;-872073;-391162;BA;20086
4100103;Abatiá;-233049;-503133;PR;7457
4200051;Abdon Batista;-276126;-510233;SC;2563
1500131;Abel Figueiredo;-495333;-483933;PA;7434
4200101;Abelardo Luz;-265716;-523229;SC;17904
3100302;Abre Campo;-202996;-424743;MG;13454
2600054;Abreu e Lima;-790072;-348984;PE;99990
1700251;Abreulândia;-962101;-491518;TO;2579
3100401;Acaiaca;-20359;-431439;MG;3994
2100055;Açailândia;-494714;-475004;MA;112445
2900306;Acajutiba;-116575;-380197;BA;15159
1500206;Acará;-195383;-481985;PA;55591
2300150;Acarape;-422083;-387055;CE;14929
2300200;Acaraú;-288769;-401183;CE;62641
2400109;Acari;-64282;-366347;RN;11136
2200053;Acauã;-821954;-410831;PI;7084
4300034;Aceguá;-318665;-541615;RS;4901
2300309;Acopiara;-608911;-39448;CE;54270
5100102;Acorizal;-15194;-563632;MT;5399
1200013;Acrelândia;-982581;-668972;AC;15256
5200134;Acreúna;-17396;-503749;GO;22366
2400208;Açu;-558362;-36914;RN;58017
3100500;Açucena;-190671;-425419;MG;9470
3500105;Adamantina;-21682;-510737;SP;35068
5200159;Adelândia;-164127;-501657;GO;2516
3500204;Adolfo;-212325;-496451;SP;3562
4100202;Adrianópolis;-246606;-489922;PR;5919
2900355;Adustina;-105437;-381113;BA;17.040
2600104;Afogados da Ingazeira;-774312;-37631;PE;37259
2400307;Afonso Bezerra;-549229;-365075;RN;11035
3200102;Afonso Cláudio;-200778;-411261;ES;30586
2100105;Afonso Cunha;-413631;-433275;MA;6524
2600203;Afrânio;-851136;-410095;PE;19635
1500305;Afuá;-0.154874;-503861;PA;39218
2600302;Agrestina;-845966;-359447;PE;24885
2200103;Agricolândia;-579676;-426664;PI;5139
4200200;Agrolândia;-274087;-49822;SC;10864
4200309;Agronômica;-272662;-49708;SC;5448
1500347;Água Azul do Norte;-679053;-504791;PA;27430
3100609;Água Boa;-179914;-423806;MG;13735
5100201;Água Boa;-14051;-521601;MT;25721
2200202;Água Branca;-588856;-42637;PI;17411
2500106;Água Branca;-751144;-376357;PB;10234
2700102;Água Branca;-9262;-37938;AL;20196
5000203;Água Clara;-204452;-52879;MS;15522
3100708;Água Comprida;-200576;-481069;MG;1999
4200408;Água Doce;-269985;-515528;SC;7145
2100154;Água Doce do Maranhão;-284048;-421189;MA;12571
3200169;Água Doce do Norte;-185482;-409854;ES;11019
2900405;Água Fria;-118618;-387639;BA;16970
5200175;Água Fria de Goiás;-149778;-477823;GO;5735
5200209;Água Limpa;-180771;-487603;GO;1850
2400406;Água Nova;-620351;-382941;RN;3252
2600401;Água Preta;-870609;-355263;PE;36771
4300059;Água Santa;-281672;-52031;RS;3748
3500303;Aguaí;-220572;-469735;SP;36305
3100807;Aguanil;-209439;-453915;MG;4486
2600500;Águas Belas;-911125;-371226;PE;43443
3500402;Águas da Prata;-219319;-467176;SP;8180
4200507;Águas de Chapecó;-270754;-529808;SC;6486
3500501;Águas de Lindóia;-224733;-466314;SP;18705
3500550;Águas de Santa Bárbara;-228812;-492421;SP;6075
3500600;Águas de São Pedro;-225977;-478734;SP;3451
3100906;Águas Formosas;-170802;-409384;MG;19207
4200556;Águas Frias;-268794;-528568;SC;2366
5200258;Águas Lindas de Goiás;-157617;-482816;GO;212440
4200606;Águas Mornas;-276963;-488243;SC;6469
3101003;Águas Vermelhas;-157431;-414571;MG;13539
4300109;Agudo;-296447;-532515;RS;16461
3500709;Agudos;-224694;-489863;SP;37214
4100301;Agudos do Sul;-259899;-493343;PR;9371
3200136;Águia Branca;-189846;-407437;ES;9642
2500205;Aguiar;-70918;-381681;PB;5640
1700301;Aguiarnópolis;-655409;-474702;TO;6733
3101102;Aimorés;-195007;-410746;MG;25167
2900603;Aiquara;-141269;-398937;BA;4446
2300408;Aiuaba;-657122;-401178;CE;17399
3101201;Aiuruoca;-219736;-446042;MG;6003
4300208;Ajuricaba;-282342;-537757;RS;7024
3101300;Alagoa;-22171;-446413;MG;2674
2500304;Alagoa Grande;-703943;-356206;PB;28496
2500403;Alagoa Nova;-705377;-357591;PB;20849
2500502;Alagoinha;-694657;-355332;PB;14489
2600609;Alagoinha;-84665;-367788;PE;14636
2200251;Alagoinha do Piauí;-700039;-409282;PI;7651
2900702;Alagoinhas;-121335;-384208;BA;151596
3500758;Alambari;-235503;-47898;SP;6025
3101409;Albertina;-222018;-466139;MG;3007
2100204;Alcântara;-239574;-444062;MA;22097
2300507;Alcântaras;-358537;-405479;CE;11714
2500536;Alcantil;-773668;-360511;PB;5492
5000252;Alcinópolis;-183255;-537042;MS;5343
2900801;Alcobaça;-175195;-392036;BA;22470
2100303;Aldeias Altas;-462621;-434689;MA;26532
4300307;Alecrim;-276579;-547649;RS;5950
3200201;Alegre;-20758;-415382;ES;30084
4300406;Alegrete;-297902;-557949;RS;73589
2200277;Alegrete do Piauí;-724196;-408566;PI;4915
4300455;Alegria;-278345;-540557;RS;3464
3101508;Além Paraíba;-218797;-427176;MG;35362
1500404;Alenquer;-194623;-547384;PA;56789
2400505;Alexandria;-640533;-380142;RN;13577
5200308;Alexânia;-160834;-485076;GO;27653
3101607;Alfenas;-214256;-459477;MG;79996
3200300;Alfredo Chaves;-206396;-407543;ES;14601
3500808;Alfredo Marcondes;-219527;-51414;SP;4166
3101631;Alfredo Vasconcelos;-211535;-437718;MG;6907
4200705;Alfredo Wagner;-277001;-493273;SC;10036
2500577;Algodão de Jandaíra;-689292;-360129;PB;2567
2500601;Alhandra;-742977;-349057;PB;19588
2600708;Aliança;-760398;-352227;PE;38386
1700350;Aliança do Tocantins;-113056;-489361;TO;5390
2900900;Almadina;-147089;-396415;BA;5464
1700400;Almas;-115706;-471792;TO;7055
1500503;Almeirim;-152904;-525788;PA;34109
3101706;Almenara;-161785;-406942;MG;41896
2400604;Almino Afonso;-61475;-377636;RN;4735
4100400;Almirante Tamandaré;-253188;-493037;PR;118623
4300471;Almirante Tamandaré do Sul;-281149;-529142;RS;1964
5200506;Aloândia;-177292;-494769;GO;1995
3101805;Alpercata;-18974;-41.97;MG;7424
4300505;Alpestre;-272502;-530341;RS;6258
3101904;Alpinópolis;-208631;-463878;MG;19853
5100250;Alta Floresta;-986674;-560867;MT;51782
1100015;Alta Floresta D'Oeste;-119283;-619953;RO;22945
3500907;Altair;-205242;-490571;SP;4160
1500602;Altamira;-320407;-52.21;PA;114594
2100402;Altamira do Maranhão;-416598;-454706;MA;8128
4100459;Altamira do Paraná;-247983;-527128;PR;1942
2300606;Altaneira;-699837;-397356;CE;7586
3102001;Alterosa;-212488;-461387;MG;14466
2600807;Altinho;-848482;-360644;PE;22972
3501004;Altinópolis;-210214;-473712;SP;16184
1400050;Alto Alegre;298858;-613072;RR;15510
3501103;Alto Alegre;-215811;-50168;SP;4099
4300554;Alto Alegre;-287769;-529893;RS;1638
2100436;Alto Alegre do Maranhão;-4213;-44446;MA;27053
2100477;Alto Alegre do Pindaré;-366689;-458421;MA;31919
1100379;Alto Alegre dos Parecis;-12132;-61835;RO;13241
5100300;Alto Araguaia;-173153;-532181;MT;19044
4200754;Alto Bela Vista;-274333;-519044;SC;1937
5100359;Alto Boa Vista;-116732;-513883;MT;6822
3102050;Alto Caparaó;-20431;-418738;MG;5847
2400703;Alto do Rodrigues;-528186;-36.75;RN;14529
4300570;Alto Feliz;-293919;-513123;RS;3028
5100409;Alto Garças;-169462;-535272;MT;12030
5200555;Alto Horizonte;-141978;-493378;GO;6414
3153509;Alto Jequitibá;-204208;-41967;MG;8317
2200301;Alto Longá;-525634;-422096;PI;14304
5100508;Alto Paraguai;-145137;-564776;MT;11356
1100403;Alto Paraíso;-971429;-633188;RO;21428
